,Rank,Country,Name,Publisher,Category,Rating,Price,Rating_count,Date
225,1,Slovenia,I Dig It Remastered,"InMotion Software, LLC",Entertainment,0.0,2.99,0,2024-12-31
226,2,Slovenia,nPlayer,Newin Inc.,Entertainment,5.0,5.99,6,2024-12-31
227,3,Slovenia,Heavy Metal Emoji,KeyLuminati,Entertainment,0.0,1.99,0,2024-12-31
228,4,Slovenia,HomeDisco - Smart Home Parties,Miguel Vieira,Entertainment,0.0,0.99,0,2024-12-31
229,5,Slovenia,Pew Pew!!,Capital F,Entertainment,0.0,0.99,0,2024-12-31
230,6,Slovenia,Bella Sara Cards,Kim Loevendahl,Entertainment,0.0,2.99,0,2024-12-31
231,7,Slovenia,Countdown App,Ryan Boyling,Entertainment,2.67,0.99,49,2024-12-31
232,8,Slovenia,VLC Streamer Pro,Hobbyist Software Limited,Entertainment,4.91,8.99,11,2024-12-31
233,9,Slovenia,VLC Remote Pro!,Hobbyist Software Limited,Entertainment,4.81,22.99,21,2024-12-31
234,10,Slovenia,AVPlayer,EPLAYWORKS,Entertainment,4.5,2.99,4,2024-12-31
235,11,Slovenia,GoodPlayer,"Wuhan TrustComputing IT Co., Ltd.",Entertainment,1.0,2.99,2,2024-12-31
236,12,Slovenia,Pocket God,Bolt Creative,Entertainment,1.0,0.99,1,2024-12-31
237,13,Slovenia,Blower,Qneo,Entertainment,4.67,1.99,3,2024-12-31
238,14,Slovenia,Akinator VIP,Elokence,Entertainment,5.0,3.99,2,2024-12-31
239,15,Slovenia,OPlayer - video player,"Suzhou Totoro Network Technology Co., Ltd.",Entertainment,4.0,2.99,4,2024-12-31
240,16,Slovenia,Oldify - Old Face App,Apptly LLC,Entertainment,3.0,0.99,1,2024-12-31
241,17,Slovenia,Let's create! Pottery HD,Infinite Dreams Inc.,Entertainment,5.0,5.99,4,2024-12-31
242,18,Slovenia,Baldify - Go Bald,Apptly LLC,Entertainment,1.0,0.99,1,2024-12-31
243,19,Slovenia,Tesla Toy,PDJ Apps,Entertainment,4.5,1.99,2,2024-12-31
244,20,Slovenia,EyeTV,"SHENZHEN GENIATECH INC.,LTD",Entertainment,5.0,5.99,2,2024-12-31
245,21,Slovenia,"Dude, your car!",mobilaga inc.,Entertainment,0.0,0.99,0,2024-12-31
246,22,Slovenia,737 Flight Simulator,Justyna Zablocka,Entertainment,2.0,1.99,1,2024-12-31
247,23,Slovenia,XLR8,"2XL Games, Inc.",Entertainment,1.0,5.99,1,2024-12-31
248,24,Slovenia,Little Kitten My Pet Kitty Cat,Squeakosaurus ug & co. kg,Entertainment,4.33,6.99,3,2024-12-31
249,25,Slovenia,1500 Ringtones Unlimited - Download the best iPhone Ringtones,Mobgen Apps Inc,Entertainment,4.0,0.99,1,2024-12-31
250,1,Slovenia,Star Walk 2: Stars in the Sky,Vito Technology Inc.,Education,4.66,2.99,56,2024-12-30
251,2,Slovenia,SkyView®,Terminal Eleven LLC,Education,5.0,2.99,8,2024-12-30
252,3,Slovenia,AnkiMobile Flashcards,Ankitects Pty Ltd,Education,5.0,29.99,5,2024-12-30
253,4,Slovenia,Pocket Universe - Astronomy,John Kennedy,Education,5.0,2.99,1,2024-12-30
254,5,Slovenia,Solar Walk: Space Simulator 3D,Vito Technology Inc.,Education,4.74,5.99,23,2024-12-30
255,6,Slovenia,Architecture of Radio,Richard Vijgen,Education,0.0,2.99,0,2024-12-30
